"cityId","cityName","zoneId","zoneName","areaDownloadUrl"
"1","Dhaka","944","Uttara Sector 13","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=944"
"1","Dhaka","945","Uttara Sector 14","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=945"
"1","Dhaka","946","Uttara Sector 8","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=946"
"1","Dhaka","957","Shahid Nagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=957"
"1","Dhaka","958","Baridhara Diplomatic Zone","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=958"
"1","Dhaka","959","Baridhara DOHS","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=959"
"1","Dhaka","960","Baridhara J Block","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=960"
"1","Dhaka","961","Nikunja 2","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=961"
"1","Dhaka","963","South Banasree","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=963"
"1","Dhaka","964","Boro Moghbazar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=964"
"1","Dhaka","965","Ashkona","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=965"
"1","Dhaka","966","DIT Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=966"
"1","Dhaka","967","Elephant Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=967"
"1","Dhaka","971","Manda","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=971"
"1","Dhaka","972","Central Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=972"
"1","Dhaka","973","Pirerbagh","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=973"
"1","Dhaka","974","Rupnagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=974"
"1","Dhaka","975","Pallabi","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=975"
"1","Dhaka","976","shampur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=976"
"1","Dhaka","977","Jurain","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=977"
"1","Dhaka","978","Faridabad","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=978"
"1","Dhaka","979","Dholpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=979"
"1","Dhaka","980","Kadamtoli","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=980"
"1","Dhaka","981","Beraid","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=981"
"1","Dhaka","1000","Uttara Sector 15","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1000"
"1","Dhaka","1001","Uttara Sector 16","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1001"
"1","Dhaka","1002","Uttara Sector 17","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1002"
"1","Dhaka","1003","Uttara Sector 18","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1003"
"1","Dhaka","1009","On-demand  transfer","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1009"
"1","Dhaka","1016","Dhamrai , Savar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1016"
"1","Dhaka","1035","Ibrahimpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1035"
"1","Dhaka","1036","Lalkuthi","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1036"
"1","Dhaka","1037","Sher-e Bangla Nagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1037"
"1","Dhaka","1041","azampur (Uttara)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1041"
"1","Dhaka","1042","rajlakkhi market","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1042"
"1","Dhaka","1043","house building","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1043"
"1","Dhaka","1045","Diabari","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1045"
"1","Dhaka","1046","Savar-Nabinagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1046"
"1","Dhaka","1054","Jhauchor","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1054"
"1","Dhaka","1055","new paltan azimpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1055"
